event_id,parsed_rows,api_participants,abs_diff_rows,parser_status,table_count,page_chars,weight_displayed,used_table_class
1324,54,29,25,ok,1,3922,17.9,table table-striped past_event_rating
1325,281,89,192,ok,1,8451,24.55,table table-striped past_event_rating
1326,162,129,33,ok,1,5113,35.64,table table-striped past_event_rating
1327,1418,199,1219,ok,1,40282,32.61,table table-striped past_event_rating
1328,131,83,48,ok,1,4708,77.38,table table-striped past_event_rating
1329,309,41,268,ok,1,9169,24.52,table table-striped past_event_rating
133,14,0,,ok,1,1458,60.0,table table-striped past_event_rating
1330,101,33,68,ok,1,3554,12.69,table table-striped past_event_rating
1334,0,0,,empty_scoreboard,0,733,0.0,
1335,23,20,3,ok,1,1660,37.5,table table-striped past_event_rating
1336,8,26,18,row_count_undercount,1,3314,0.0,table table-striped past_event_rating
1337,41,59,18,row_count_undercount,1,2235,0.0,table table-striped past_event_rating
1339,88,89,1,ok,1,4669,24.55,table table-striped past_event_rating
134,20,0,,ok,1,1397,80.0,table table-striped past_event_rating
1340,54,53,1,ok,1,2366,44.33,table table-striped past_event_rating
1341,56,5,51,ok,1,3247,24.6,table table-striped past_event_rating
1342,845,122,723,ok,1,23902,24.53,table table-striped past_event_rating
1343,17,20,3,row_count_undercount,1,1105,23.4,table table-striped past_event_rating
1345,0,45,45,empty_scoreboard,0,2620,0.0,
1346,0,0,,empty_scoreboard,0,575,0.0,
135,481,44,437,ok,1,13597,10.0,table table-striped past_event_rating
1350,291,54,237,ok,1,9378,25.0,table table-striped past_event_rating
1352,0,0,,empty_scoreboard,0,588,0.0,
1353,611,101,510,ok,1,18730,23.23,table table-striped past_event_rating
1354,602,144,458,ok,1,18056,23.49,table table-striped past_event_rating
1355,0,0,,empty_scoreboard,0,763,48.96,
1356,464,99,365,ok,1,12732,86.71,table table-striped past_event_rating
1357,12,25,13,row_count_undercount,1,1116,95.0,table table-striped past_event_rating
1358,232,43,189,ok,1,6960,21.85,table table-striped past_event_rating
