country,year,n_teams,n_events,n_academic_teams,top10_appearances,top50_appearances,top100_appearances,median_place,mean_place,total_appearances
CO,2016,5,19,0,0,0,3,337,392.3,21
CO,2017,6,23,0,0,0,1,310.5,415.6,30
CO,2018,3,22,0,0,0,2,322.5,388.5,28
CO,2019,3,39,0,0,2,5,269.0,317.4,46
CO,2020,2,4,0,0,0,0,405.5,476,4
CO,2021,3,6,0,0,0,0,309.0,440,6
CO,2022,2,8,0,1,2,2,241.0,302,8
CO,2023,2,3,0,0,0,0,290,249.3,3
CO,2024,1,4,0,0,0,0,342.5,395,4
CO,2025,4,4,0,0,0,0,477.0,523,4
CO,2026,1,3,0,0,0,3,61,64.3,3
CU,2018,1,1,0,0,0,0,917,917,1
CU,2021,1,1,0,0,0,0,211,211,1
CU,2022,1,2,0,0,0,2,72.0,72,2
CU,2023,1,3,0,0,0,0,187,190,3
CU,2024,1,1,0,0,0,0,699,699,1
CV,2012,1,1,0,0,0,0,516,516,1
CV,2013,1,3,0,0,0,0,276,525.7,3
CV,2016,1,1,1,0,0,0,167,167,1
CV,2018,1,1,0,0,0,1,77,77,1
CX,2013,1,1,0,1,1,1,6,6,1
CX,2014,1,11,0,2,7,9,25,106.6,11
CX,2016,1,1,0,0,0,0,182,182,1
CX,2017,1,3,0,0,0,0,159,268.3,3
CX,2018,1,1,0,0,0,1,68,68,1
CX,2020,1,3,0,0,0,0,419,492,3
CX,2022,1,1,0,0,0,0,620,620,1
CX,2023,1,1,0,0,0,0,338,338,1
CX,2025,1,3,0,0,0,1,262,526.3,3
CY,2016,1,1,1,0,0,0,296,296,1
CY,2017,1,3,0,0,1,2,78,104,3
CY,2018,1,1,0,0,1,1,17,17,1
CY,2019,1,3,0,1,3,3,20,17.7,3
CY,2020,1,1,0,0,0,0,206,206,1
CY,2023,1,1,0,0,0,0,431,431,1
CZ,2013,1,1,0,0,0,0,358,358,1
CZ,2015,2,2,0,0,0,0,240.5,240.5,2
CZ,2017,7,15,3,0,2,3,246,433.4,17
CZ,2018,11,37,1,1,6,17,183,308.8,47
CZ,2019,8,44,1,2,21,31,117.0,195.2,76
CZ,2020,10,51,2,5,24,33,101.5,200.9,70
CZ,2021,5,20,0,2,11,14,62.0,257.7,22
CZ,2022,6,44,1,3,18,29,70.5,164.1,48
CZ,2023,5,24,1,4,15,19,47,104.0,25
CZ,2024,6,34,1,1,14,21,60.5,241.6,34
CZ,2025,5,15,1,3,9,12,41,124.4,15
CZ,2026,2,2,0,0,1,2,51.5,51.5,2
DE,2011,11,8,6,13,25,30,17,29.1,31
DE,2012,14,21,4,14,51,84,40.5,53.4,92
DE,2013,20,29,10,24,95,149,46,60.4,173
DE,2014,25,34,10,26,69,110,70,109.4,173
DE,2015,43,47,20,39,121,172,75,134.4,299
DE,2016,44,57,19,31,102,186,98.0,169.2,366
DE,2017,55,81,22,48,135,206,93,195.3,403
DE,2018,66,83,27,40,137,209,123.0,210.0,470
DE,2019,61,107,18,51,163,239,115.0,208.0,512
DE,2020,56,141,15,53,175,262,131,214.4,613
DE,2021,54,132,17,44,156,214,117,215.2,457
DE,2022,45,135,16,39,138,210,81,162.0,373
DE,2023,46,128,17,64,162,217,56.0,147.8,342
DE,2024,46,107,14,41,115,150,61,166.9,257
DE,2025,40,113,14,32,74,111,132.0,278.7,254
DE,2026,24,27,9,2,5,8,251.5,332.6,46
DK,2011,3,6,0,4,5,7,7,26.1,7
DK,2012,2,11,0,7,11,12,8.0,16.2,12
DK,2013,2,20,0,8,20,22,17.5,31.6,24
DK,2014,3,17,0,8,13,16,21.5,36,18
DK,2015,4,32,1,8,15,28,80,136.6,47
DK,2016,8,32,1,1,15,17,118,147.5,41
DK,2017,9,33,2,1,8,20,167,233.0,63
DK,2018,14,45,2,0,9,26,170.0,240.3,76
DK,2019,11,66,1,2,25,40,147,216.8,117
DK,2020,8,49,0,1,20,29,121.0,247.8,64
DK,2021,9,21,1,4,10,11,129,262.1,23
DK,2022,9,27,1,7,11,17,92.0,222.8,32
DK,2023,9,18,1,3,12,12,50,340.1,23
DK,2024,7,22,1,4,11,13,86,243.6,23
DK,2025,6,28,1,3,9,11,164.0,363.8,28
DK,2026,2,3,0,0,0,0,225,403.3,3
DO,2018,1,2,0,0,0,1,291.0,291,2
DO,2019,1,1,0,0,0,0,106,106,1
DO,2022,1,1,0,0,1,1,44,44,1
DO,2023,1,1,1,0,0,0,4380,4380,1
DZ,2011,2,3,0,0,1,1,163,138,3
DZ,2012,2,11,0,0,3,7,104.0,101.8,14
DZ,2013,2,5,0,0,0,3,149.0,193,6
DZ,2014,4,11,1,0,0,3,203.5,272.9,18
DZ,2015,5,21,1,0,1,4,242.0,268.6,26
DZ,2016,8,31,2,1,3,12,185,245.2,61
DZ,2017,13,59,3,0,17,41,162.0,244.8,118
DZ,2018,19,55,7,4,23,39,215,312.9,133
DZ,2019,11,57,3,2,17,35,129,227.7,83
DZ,2020,13,40,5,4,14,20,174.0,286.4,54
DZ,2021,5,19,2,1,3,5,282,481.1,19
DZ,2022,5,22,1,0,1,4,136.0,237.5,22
DZ,2023,6,52,1,5,6,10,376.0,369.1,56
DZ,2024,7,14,2,1,2,2,437.5,501.6,18
DZ,2025,7,17,2,1,2,3,421.0,492.2,18
DZ,2026,3,5,1,0,0,0,453,395.2,5
EC,2017,1,11,0,0,3,4,119,180.4,11
EC,2018,2,11,0,1,3,7,68.5,162.9,12
EC,2019,2,14,0,0,1,8,95.5,146.7,14
EC,2020,2,12,0,0,2,6,117.5,121.6,12
EC,2021,1,8,0,1,2,3,123.0,120.6,8
EC,2022,1,8,0,0,3,3,200.5,289.5,8
EC,2024,1,2,0,0,0,1,139.0,139,2
EE,2016,1,1,0,0,0,0,630,630,1
EE,2017,1,10,0,0,0,0,374.0,430.4,10
EE,2018,4,10,2,0,4,6,70.0,154.7,10
EE,2019,2,26,0,3,4,10,236,306.9,29
EE,2020,3,15,0,0,3,4,313,440.3,15
EE,2021,2,4,0,0,0,1,206.0,219.5,4
EE,2022,1,3,0,0,2,2,34,81.7,3
EE,2023,2,3,0,0,0,1,148,206,3
EE,2024,1,2,0,0,1,2,54.0,54,2
EE,2025,2,4,0,0,0,2,116.0,220,4
EG,2012,3,3,1,1,4,4,27.0,24,4
EG,2013,1,1,0,0,0,0,321,321,1
EG,2014,1,1,0,0,0,0,507,507,1
EG,2015,4,17,0,0,1,5,156.0,232.3,18
EG,2016,8,16,3,0,0,0,355,376.4,19
EG,2017,9,24,2,2,8,11,143.5,295.4,30
EG,2018,14,39,5,1,1,6,322.5,395.8,58
EG,2019,9,55,2,0,16,23,149.0,228.9,68
EG,2020,8,51,2,3,14,19,241,348.4,59
EG,2021,6,16,1,2,7,8,191,540.5,17
EG,2022,5,17,0,4,7,8,136.0,271.3,18
EG,2023,7,17,2,0,8,10,104,447.5,21
EG,2024,8,10,2,0,2,2,328,532.5,13
EG,2025,12,21,6,0,2,7,306.5,522.9,26
EG,2026,4,6,0,0,1,1,547.5,472.7,6
ES,2011,3,8,0,3,7,9,26.5,44.2,10
ES,2012,5,19,0,5,18,26,48.0,89.1,34
ES,2013,7,28,0,12,21,25,97.5,116.4,50
ES,2014,12,29,0,15,34,40,82.0,139.4,78
ES,2015,14,37,0,9,30,45,149.0,181.3,118
ES,2016,16,45,0,11,54,78,140.5,197.9,182
ES,2017,24,61,3,5,34,65,169.5,252.5,208
ES,2018,22,51,3,6,28,50,115,216.8,105
ES,2019,21,69,2,11,47,71,123,219.8,165
ES,2020,18,72,2,6,37,64,107.5,256.6,132
ES,2021,16,81,2,4,36,56,147,291.0,125
ES,2022,12,68,2,7,24,32,175,219.5,83
ES,2023,10,37,1,2,11,20,117,213.6,45
ES,2024,13,28,1,0,7,11,342,475.2,33
ES,2025,12,38,1,1,3,8,287.5,455.4,44
ES,2026,6,13,0,1,1,2,375.5,379.9,14
FI,2016,3,8,0,0,1,1,463.5,504.2,8
FI,2017,6,8,0,0,0,0,625,759.5,11
FI,2018,2,6,0,0,0,0,184.0,251.8,6
FI,2019,2,3,0,0,0,0,379.5,348,4
FI,2020,1,2,0,0,0,0,333.0,333,2
FI,2021,2,4,0,0,0,0,365.5,400,4
FI,2022,2,3,0,0,0,1,633,825,3
FI,2023,2,7,0,0,0,1,380,330,7
FI,2024,3,3,0,0,0,0,168,200,3
FI,2025,3,3,0,1,1,1,183,223.3,3
FI,2026,1,2,0,0,0,0,622.0,622,2
FR,2011,8,8,1,8,26,28,21.5,39,30
FR,2012,12,19,1,20,57,69,22.0,47.3,82
FR,2013,24,28,3,17,76,104,44,77.5,133
FR,2014,37,31,5,6,47,90,127,172.9,237
FR,2015,50,43,11,12,69,115,119,177.4,261
FR,2016,73,55,9,29,131,211,114,186.4,459
FR,2017,91,78,19,46,198,323,132.0,213.8,784
FR,2018,118,83,32,37,168,303,140,207.6,801
FR,2019,73,97,20,24,84,155,180.5,251.5,536
FR,2020,61,121,12,16,90,164,149,272.6,417
FR,2021,61,74,12,10,38,67,158.0,345.5,154
FR,2022,50,90,7,7,32,41,226,432.8,171
FR,2023,45,96,9,7,40,69,174,272.5,179
