country,year,active_teams,new_teams_first_seen,top100_teams
GR,2023,32,7,1
GR,2024,41,17,2
GR,2025,39,10,0
GR,2026,15,2,0
GS,2019,3,3,0
GS,2020,2,0,0
GS,2021,1,0,0
GS,2022,2,1,0
GS,2023,2,0,0
GS,2024,1,0,0
GS,2025,3,2,0
GS,2026,2,0,0
GT,2018,1,1,0
GT,2021,1,1,0
GT,2022,2,1,0
GT,2023,1,0,0
GU,2018,2,2,0
GU,2019,1,0,0
GU,2020,1,1,0
GU,2021,1,1,0
GU,2022,1,0,0
GU,2023,1,0,0
GU,2024,1,0,0
GU,2025,1,1,0
HK,2011,1,1,0
HK,2012,1,0,0
HK,2013,1,0,0
HK,2014,6,5,0
HK,2015,7,4,0
HK,2016,11,6,0
HK,2017,22,14,1
HK,2018,22,8,0
HK,2019,24,9,1
HK,2020,32,15,1
HK,2021,31,17,1
HK,2022,38,24,1
HK,2023,44,26,1
HK,2024,45,20,1
HK,2025,59,23,0
HK,2026,30,3,0
HM,2012,1,1,0
HM,2014,1,0,0
HM,2015,1,0,0
HM,2016,1,0,0
HM,2017,1,0,0
HM,2018,1,0,0
HM,2019,1,0,0
HM,2020,1,0,0
HM,2021,1,0,0
HM,2022,1,0,0
HM,2023,1,0,0
HM,2024,2,1,0
HM,2025,1,0,0
HM,2026,2,0,0
HN,2022,2,2,0
HN,2023,1,0,0
HR,2015,1,1,0
HR,2016,1,0,0
HR,2017,4,3,0
HR,2018,5,2,0
HR,2019,8,3,0
HR,2020,8,3,0
HR,2021,10,6,0
HR,2022,10,2,0
HR,2023,12,5,0
HR,2024,13,7,0
HR,2025,10,3,0
HR,2026,3,0,0
HU,2012,1,1,0
HU,2013,3,3,1
HU,2014,4,1,1
HU,2015,2,0,1
HU,2016,2,1,1
HU,2017,3,1,1
HU,2018,9,6,1
HU,2019,9,5,2
HU,2020,17,7,1
HU,2021,26,14,1
HU,2022,20,6,0
HU,2023,25,14,0
HU,2024,25,7,0
HU,2025,19,4,0
HU,2026,8,4,0
ID,2011,2,2,0
ID,2012,1,1,0
ID,2013,7,5,0
ID,2014,25,23,0
ID,2015,61,43,1
ID,2016,71,43,0
ID,2017,69,34,0
ID,2018,89,48,1
ID,2019,142,82,0
ID,2020,148,64,0
ID,2021,151,70,2
ID,2022,137,63,0
ID,2023,187,100,2
ID,2024,255,148,3
ID,2025,272,152,3
ID,2026,128,31,4
IE,2014,1,1,0
IE,2015,2,1,0
IE,2016,7,7,0
IE,2017,10,8,0
IE,2018,9,5,0
IE,2019,7,3,0
IE,2020,10,5,0
IE,2021,15,7,0
IE,2022,19,12,0
IE,2023,21,7,0
IE,2024,16,6,0
IE,2025,22,11,1
IE,2026,17,8,0
IL,2013,1,1,0
IL,2014,5,4,0
IL,2015,6,3,1
IL,2016,16,12,1
IL,2017,30,24,1
IL,2018,48,32,3
IL,2019,63,35,2
IL,2020,87,48,2
IL,2021,77,37,1
IL,2022,77,34,1
IL,2023,72,25,0
IL,2024,70,27,0
IL,2025,55,17,0
IL,2026,16,1,0
IM,2011,1,1,0
IM,2013,1,1,0
IM,2014,1,1,0
IM,2015,1,0,0
IM,2016,1,1,0
IM,2018,3,2,0
IM,2019,5,1,0
IM,2020,5,2,0
IM,2021,3,1,0
IM,2022,6,3,0
IM,2023,7,1,0
IM,2024,5,1,0
IM,2025,7,3,0
IM,2026,3,0,0
IN,2011,3,3,1
IN,2012,11,8,1
IN,2013,26,19,1
IN,2014,44,28,1
IN,2015,78,55,0
IN,2016,106,63,2
IN,2017,168,99,2
IN,2018,261,157,2
IN,2019,413,264,4
IN,2020,714,472,4
IN,2021,677,368,6
IN,2022,617,271,3
IN,2023,643,324,1
IN,2024,760,353,4
IN,2025,972,538,6
IN,2026,589,272,7
IQ,2016,1,1,0
IQ,2021,2,2,0
IQ,2022,5,4,0
IQ,2023,5,4,0
IQ,2024,10,6,0
IQ,2025,13,10,0
IQ,2026,10,6,0
IR,2012,1,1,0
IR,2013,19,18,1
IR,2014,30,16,2
IR,2015,30,11,1
IR,2016,39,23,3
IR,2017,25,10,2
IR,2018,42,19,2
IR,2019,48,16,1
IR,2020,77,39,1
IR,2021,69,26,1
IR,2022,53,15,1
IR,2023,59,28,1
IR,2024,65,27,2
IR,2025,75,29,1
IR,2026,24,3,0
IS,2015,1,1,0
IS,2016,5,4,0
IS,2017,3,1,0
IS,2018,5,2,0
IS,2019,6,2,0
IS,2020,8,4,0
IS,2021,7,3,0
IS,2022,6,3,1
IS,2023,5,1,1
IS,2024,5,0,1
IS,2025,5,1,0
IS,2026,1,0,0
IT,2011,6,6,4
IT,2012,4,0,4
IT,2013,6,2,2
IT,2014,4,0,0
IT,2015,11,6,2
IT,2016,15,7,2
IT,2017,29,16,4
IT,2018,46,26,4
IT,2019,74,41,4
IT,2020,126,79,5
IT,2021,121,54,4
IT,2022,110,42,6
IT,2023,126,45,9
IT,2024,132,53,8
IT,2025,130,54,6
IT,2026,65,14,2
JM,2014,1,1,0
JM,2020,1,1,0
JO,2012,1,1,0
JO,2015,1,1,0
JO,2016,2,1,0
