team_id,team_name,country,academic
1828,WeLoveCP,US,0
1830,uuu,,0
1832,IngloriousMonkeys,AT,0
1833,Fourchette Bombe,CH,0
1835,tails,,0
1837,tsuro,,0
1839,sk,,0
1842,ForFun,,0
1848,YAT,,0
1849,hx0r,,0
1851,SuNiNaTaS,,0
1855,team camacho,,0
1857,ds,,0
1860,Hacking is Art,KR,0
1862,ctf_colombia,CO,0
1877,Sheip,,0
1880,IO,,0
1888,nav,,0
1898,nasi lemak,,0
1906,noobteam,,0
1909,TravestiSec,AR,0
1910,UiPC,MY,1
1914,testid,,0
1918,rcode,,0
1919,Forgotten,,0
1923,sf,DE,0
1935,Alphard,,0
1937,Samurai,US,0
1940,0ccupy EIP,,0
1941,blue-lotus,CN,0
1946,[TechnoPandas],RU,0
1948,Digital Intercept,US,0
1957,katagaitai,JP,0
1958,mochigoma,JP,0
1961,III_tw,,0
1963,w0pr,,0
1964,WE_0WN_Y0U,AT,1
1968,mop,,0
1970,ca,,0
1972,Return 4,CA,0
1975,K.Knock,,0
1978,STS,PL,0
1980,NS-TRT,CN,0
1991,certis,,0
1999,mOjOjOjO,,0
2003,SYPER,AR,1
2005,Red Cops,,0
2008,THC,,0
2010,WeAreScientists,AT,0
2011,in23canation,DE,1
2013,Cheddar Horsemen,,0
2016,Ulm Security Sparrows,DE,1
2023,NorseR@g3,,0
2025,wildHats,,0
2330,NaN,,0
2331,superNOVA,,0
2333,bla,,0
2337,AK41s,,0
2353,YOKARO-MON,JP,0
2354,hkkiw0823,,0
2358,frank,,0
2359,DC949,,0
2363,trouble,,0
2365,zoo,,0
2366,oka,,0
2369,Pony,,0
2373,ftw,,0
2376,Cl0ud Sh3llz,,0
2378,YAMATO,,0
2380,0x90,CH,0
2384,VIkings,,0
2387,Anomaly,,0
2389,Team Deer,,0
2401,ac1d,,0
2404,nasilemak,,0
2405,WANG,,0
2421,Shad0w,,0
2423,1in9mu,,0
2427,fail0verflow,,0
2428,PoC,,0
2432,pwned,,0
2438,Defunct,,0
2455,Back2Hack,,0
2456,No name,,0
2467,pk,,0
2478,ANONYMOUS,,0
2480,SDSLabs,IN,1
2487,Cyber Defense Action League,US,0
2490,hacker-culture,GB,0
2494,Amish Security,CA,0
2496,MEH,ID,0
2499,BlackStack,BE,0
2500,Knightsec,US,1
2502,leo,RU,0
2503,amigo,RU,0
2506,MadHatters,US,1
2508,hellokitty,RO,0
2511,Bits For Everyone,US,1
2517,Layer8,,0
2518,pumpernikiel,PL,0
2519,tonko2,JP,0
2524,Nol3ptr,US,1
2525,TUH,,0
2529,PeakChaos,US,0
2532,msc,,0
2534,Team AFK,US,0
2538,The Cat is #1!!,KP,0
2539,GreenTea,,0
2540,ReallyNonamesFor,RU,0
2543,0x4F,,0
2545,rm -rf,,0
2550,/dev/zero,,0
2555,GTFO,,0
2560,...,,0
2561,Shellmates,DZ,0
2574,0w1s,,0
2582,jg,,0
2584,UcefKH,,0
2596,Nawak,,0
2597,PoisonedBytes,TN,0
2600,superflip,JP,0
2601,Mogul,MN,0
2608,C5,,0
2610,IND,,0
2611,Pandora,,0
2612,BlackWhite,,0
2616,Cyber Security Athenaeum,US,0
2619,abc,,0
2621,Threat Level Midnight,,0
2626,HashBang,,0
2627,raw,,0
2632,Binary,,0
2635,nubian,,0
2645,isc,,0
2648,partyOfOne,,0
2649,NoTime,,0
2651,402,,0
2655,Wall,,0
2657,zerone,BJ,0
2658,Binary Bandits,,0
2660,raidersec,,0
2668,DAFTHACK,,0
2673,Jimmy Jam and the Hoagies,,0
2676,CureSecure,JP,0
2683,Cl0wn,US,0
2695,Odin's Beard,,0
2697,derpderp,,0
2698,undefined,,0
2713,cman,,0
2727,CySec,,0
2728,ginrummy,,0
2735,Ravens,,0
2736,testteam,,0
2741,Vlad,,0
2746,CardinaL,,0
2749,evandrix,GB,0
2754,CTF-infinit,JP,0
2758,Infinite,,0
2762,inj3ct0r,IN,0
2764,UB,,0
2774,/dev/trolls,US,0
2775,spear,,0
2780,Syscall,,0
2786,NoTeam,RU,0
2788,neuromancers,,0
2795,SouLo,,0
2798,Flying Solo,,0
2799,Structure,,0
2815,Me,,0
2818,Scrambles,,0
2820,qwerty123,,0
2823,Hermes,,0
2825,Aardvark,,0
2827,GGNORE,,0
2828,Sharingan,,0
2830,hba,,0
2833,mchandx,,0
2839,lastplace,,0
2846,kai,,0
2852,Badger,,0
2855,jake,,0
2860,sign,,0
2864,Secret,MN,0
2867,3x3,CV,0
2869,CaptchaTheFlag,,0
2870,dp,,0
2871,hitori,JP,0
2872,CyberHawks,,0
2877,Mike,,0
2897,paradox,,0
2905,Blum,,0
2909,BruteForce,,0
2915,nu11,,0
2919,hackbyr0k,,0
2921,Yoyo,,0
2927,C8H10N4O2,CH,0
2933,Ramrod,,0
2943,JWN,JO,0
2948,Athena,,0
2950,one,,0
2956,H4C,,0
2958,pwners,,0
2970,SR,,0
2976,Snoopy,,0
2980,keva,RU,1
2988,woyouyizhixiaomaol,LU,0
2992,FluxRookies,DE,0
2994,HIGIMT,,0
2997,0x14,,0
3004,toto,,0
3006,noidea,,0
3007,H9,,0
3008,$7UNF15K,NL,0
3009,Baghali,IR,0
3012,scan.net,AT,1
3022,80085,,0
3029,brains_404,,0
3031,ecks,,0
3039,HeXA,KR,0
3041,/dev/random,,0
3044,BB,,0
3048,Dystopian Knights,SG,0
3050,EpsilonDelta,JP,0
3053,foobar,,0
3055,gravity,,0
3058,HansWurst,,0
3059,itsgr,JP,0
3061,mooh,,0
3062,onlyme,,0
3067,team_playerz,,0
3068,Viking,NF,1
3071,azerty,,0
3091,OKIOK,CA,0
3093,__init__,,0
3097,UQAM,CA,0
3101,Blackhats,,0
3109,Gunners,EG,0
3112,mugiwara,,0
3114,DDOS,,0
3117,NooBz,,0
3118,Reapers,IN,0
3123,Pioneers,,0
3126,root,,0
3127,sunflower,,0
3128,13,EG,0
3132,Glider Swirley,,0
3133,Xyz,CG,0
3134,Pe@kTeam,KR,0
