team_id,n_events,first_year,last_year,years_active,best_place,top10_count,top50_count
3418,15,2013,2019,7,32,0,3
3438,19,2013,2025,13,12,0,3
3441,57,2013,2026,14,24,0,4
3492,31,2013,2025,13,13,0,6
3588,6,2014,2016,3,10,1,2
3594,5,2020,2026,7,201,0,0
3596,8,2013,2025,13,25,0,2
3598,49,2013,2026,14,4,4,11
3599,5,2013,2013,1,1,2,3
3600,3,2013,2013,1,13,0,2
3602,112,2013,2026,14,18,0,10
3606,23,2013,2018,6,10,1,5
3613,10,2012,2015,4,25,0,1
3629,56,2013,2021,9,8,1,5
3635,19,2013,2019,7,12,0,1
3637,21,2013,2026,14,11,0,10
3641,25,2013,2026,14,19,0,6
3650,72,2013,2026,14,20,0,5
3655,66,2013,2023,11,12,0,12
3758,14,2013,2018,6,27,0,1
3775,28,2013,2025,13,58,0,0
3783,4,2013,2019,7,164,0,0
3786,8,2013,2015,3,29,0,2
3787,7,2013,2015,3,27,0,3
3789,3,2013,2015,3,117,0,0
3793,10,2013,2024,12,97,0,0
3797,7,2013,2022,10,22,0,1
3818,33,2013,2018,6,1,5,19
3820,33,2013,2022,10,1,1,3
3891,15,2012,2019,8,1,4,7
3906,50,2013,2025,13,3,5,13
3910,23,2013,2017,5,40,0,1
3944,106,2013,2026,14,4,1,17
3945,3,2013,2014,2,44,0,1
3946,206,2013,2026,14,18,0,17
3951,17,2013,2024,12,7,1,1
3984,43,2013,2026,14,32,0,5
4004,80,2013,2024,12,2,32,61
4032,14,2013,2022,10,56,0,0
4051,35,2013,2023,11,3,7,21
4056,71,2013,2026,14,1,9,31
4075,9,2013,2026,14,49,0,1
4077,16,2015,2025,11,90,0,0
4113,40,2013,2026,14,12,0,9
4134,3,2016,2025,10,406,0,0
4135,9,2013,2026,14,157,0,0
4138,9,2012,2023,12,11,0,6
4140,287,2013,2025,13,3,29,134
4141,12,2013,2019,7,1,8,9
4149,17,2013,2025,13,1,1,6
4151,16,2013,2025,13,3,6,14
4153,14,2013,2015,3,8,2,5
4155,12,2013,2019,7,10,1,3
4160,4,2013,2023,11,4,1,1
4163,20,2013,2025,13,8,1,1
4166,23,2013,2025,13,12,0,7
4173,10,2013,2025,13,1,3,3
4175,5,2023,2026,4,96,0,0
4176,32,2013,2024,12,6,1,4
4183,25,2013,2014,2,6,2,20
4243,60,2013,2026,14,6,1,5
4292,57,2013,2023,11,56,0,0
4305,176,2013,2026,14,1,2,5
4322,25,2013,2025,13,19,0,4
4350,9,2013,2016,4,129,0,0
4351,20,2013,2023,11,7,3,4
4352,8,2013,2017,5,35,0,2
4353,12,2013,2017,5,21,0,3
4354,21,2013,2015,3,25,0,4
4357,10,2013,2023,11,11,0,1
4358,9,2013,2015,3,13,0,3
4359,21,2013,2021,9,5,2,5
4366,8,2013,2023,11,54,0,0
4390,15,2013,2014,2,42,0,1
4397,8,2013,2025,13,16,0,2
4399,6,2013,2021,9,4,3,5
4402,17,2013,2015,3,27,0,2
4414,12,2013,2013,1,3,1,3
4418,22,2013,2025,13,26,0,1
4419,238,2013,2026,14,1,92,188
4427,13,2013,2024,12,25,0,1
4428,27,2013,2016,4,16,0,3
4434,103,2013,2022,10,3,8,40
4685,2,2013,2013,1,2,2,2
4687,14,2013,2023,11,1,3,8
4693,150,2013,2026,14,23,0,9
4710,124,2013,2025,13,4,5,24
4761,15,2013,2014,2,20,0,2
4809,6,2015,2024,10,111,0,0
4818,103,2013,2023,11,3,8,21
4854,62,2013,2020,8,1,19,39
4859,8,2013,2015,3,35,0,1
4861,40,2013,2026,14,6,1,9
4875,9,2013,2016,4,53,0,0
4881,8,2013,2017,5,70,0,0
4882,54,2013,2025,13,8,1,3
4894,101,2013,2025,13,3,8,54
4899,66,2013,2026,14,3,8,33
4901,9,2013,2015,3,21,0,2
4926,30,2013,2024,12,27,0,2
4934,8,2013,2024,12,37,0,1
4951,6,2013,2018,6,89,0,0
4952,58,2013,2025,13,5,2,17
4960,23,2013,2016,4,7,1,1
5053,8,2013,2019,7,110,0,0
5071,23,2013,2026,14,1,1,2
5084,7,2013,2024,12,24,0,2
5088,5,2013,2014,2,185,0,0
5093,3,2013,2020,8,554,0,0
5102,35,2014,2025,12,28,0,4
5107,14,2013,2015,3,19,0,3
5111,11,2013,2019,7,10,1,4
5135,90,2013,2022,10,8,1,3
5140,80,2013,2022,10,4,1,15
5142,10,2017,2025,9,53,0,0
5144,12,2013,2021,9,4,1,1
5145,8,2019,2026,8,59,0,0
5148,122,2014,2026,13,3,1,2
5149,11,2014,2025,12,7,1,3
5151,6,2016,2020,5,146,0,0
5152,269,2013,2024,12,1,131,237
5160,138,2013,2021,9,1,93,125
5162,44,2013,2021,9,1,14,24
5171,73,2013,2025,13,2,9,37
5178,25,2013,2026,14,6,1,6
5185,52,2013,2024,12,11,0,5
5191,10,2013,2014,2,30,0,2
5195,34,2013,2026,14,23,0,3
5219,11,2013,2015,3,112,0,0
5239,17,2013,2025,13,68,0,0
5244,19,2013,2015,3,51,0,0
5263,20,2013,2020,8,87,0,0
5265,55,2013,2026,14,8,1,4
5297,29,2013,2026,14,10,1,5
5312,12,2013,2024,12,66,0,0
5316,50,2013,2020,8,45,0,1
5317,85,2013,2018,6,1,35,63
5318,29,2013,2016,4,5,1,7
5320,62,2013,2023,11,2,14,38
5321,8,2013,2020,8,16,0,2
5326,4,2013,2015,3,153,0,0
5339,2,2013,2014,2,97,0,0
5340,5,2014,2022,9,144,0,0
5342,7,2013,2026,14,3,1,1
5343,37,2013,2026,14,2,1,3
5347,151,2013,2022,10,1,58,122
5349,37,2013,2025,13,1,10,26
5351,36,2013,2019,7,4,5,10
5354,57,2013,2019,7,8,1,17
5361,41,2013,2025,13,10,1,14
5363,5,2013,2025,13,83,0,0
5368,6,2013,2017,5,105,0,0
5379,10,2013,2015,3,11,0,1
5386,68,2013,2026,14,6,3,26
5393,6,2013,2026,14,175,0,0
5394,8,2013,2023,11,105,0,0
