team_id,n_events,first_year,last_year,years_active,best_place,top10_count,top50_count
8741,26,2014,2018,5,43,0,1
8742,2,2014,2014,1,188,0,0
8745,20,2014,2025,12,48,0,1
8749,12,2014,2025,12,34,0,2
8751,45,2014,2026,13,10,1,8
8753,3,2014,2014,1,88,0,0
8754,107,2014,2026,13,19,0,6
8789,32,2014,2026,13,1,2,9
8795,19,2014,2018,5,2,2,6
8809,14,2014,2015,2,28,0,2
8816,12,2014,2015,2,128,0,0
8891,4,2014,2025,12,25,0,1
8894,1,2020,2020,1,1356,0,0
8895,54,2014,2024,11,74,0,0
8898,44,2014,2026,13,11,0,4
8902,44,2014,2018,5,1,11,28
8932,4,2014,2025,12,102,0,0
8962,26,2014,2022,9,39,0,2
8964,32,2014,2018,5,20,0,4
9054,1,2014,2014,1,499,0,0
9055,10,2015,2021,7,148,0,0
9057,3,2014,2023,10,416,0,0
9058,1,2017,2017,1,526,0,0
9061,318,2014,2026,13,1,27,157
9062,149,2014,2020,7,1,41,107
9063,1,2014,2014,1,197,0,0
9071,6,2014,2019,6,11,0,6
9079,16,2014,2025,12,37,0,1
9083,56,2014,2019,6,2,28,54
9107,17,2014,2025,12,23,0,1
9108,9,2017,2025,9,54,0,0
9109,6,2014,2018,5,217,0,0
9110,32,2016,2026,11,16,0,3
9112,5,2020,2026,7,432,0,0
9113,7,2014,2022,9,33,0,3
9115,1,2014,2014,1,654,0,0
9117,8,2017,2024,8,168,0,0
9120,10,2014,2016,3,86,0,0
9134,1,2014,2014,1,164,0,0
9136,1,2014,2014,1,185,0,0
